Column1,SDURAKKODU,SDURAKADI,lon,lat,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM,28.99386488,41.03851705
7445,202702,YENİ CAMİİ,29.856067,41.135713,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0522079999907 40.9929040005527),
7446,202711,AĞVA MERKEZ,29.855323,41.138729,Sile,MERKEZ,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0522139694472 41.0967850052003),
7447,202721,İSAKÖY MERKEZ,29.824454,41.109614,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0522170189392 41.1467649835365),
7448,202722,İSAKÖY MERKEZ,29.824346,41.109613,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.052222008341 41.1446579785973),
7449,202731,KURFALI SAPAĞI,29.824084,41.129855,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0522769550424 41.0242190041537),
7450,202732,KURFALI SAPAĞI,29.824187,41.129928,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0523059999905 41.0559620005628),
7451,202741,İMAMKÖY SAPAĞI,29.822032,41.139259,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0523069999907 40.9927030005526),
7452,202742,İMAMKÖY SAPAĞI,29.821765,41.138994,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0523160000113 40.9071529991189),
7453,202751,ŞUAYİPLİ KÖYÜ,29.799223,41.133851,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.052343024695 41.2424790255241),
7454,202752,ŞUAYİPLİ KÖYÜ,29.799046,41.133799,Sile,AGVA,YOK,KAPALI,İETTMODERN,Uygun Degil,29.0523739725926 41.1753570388548),
7455,202761,SOĞULLAR KÖYÜ,29.793088,41.14087,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0523889743764 41.0966460398836),
7456,202762,SOĞULLAR KÖYÜ,29.792864,41.140826,Sile,AGVA,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0523889999906 41.0113250005556),
7457,202771,BOZGOCA KÖYÜ,29.77636301,41.14179397,Sile,SILE,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0523960054624 41.1262349737148),
7458,202772,BOZGOCA KÖYÜ,29.775325,41.141395,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0524500466566 41.0191980305586),
7459,202781,KARACAKÖY,29.769403,41.151504,Sile,SILE,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0524570445026 41.2427810299023),
7460,202782,KARACAKÖY,29.769336,41.151427,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0524660457685 41.0274490087369),
7461,202792,İMRENLİ KOYU,29.755392,41.156446,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0524950483426 41.1946610273008),
7462,202801,İMRENLİ KÖYÜ,29.738464,41.146423,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0524989813365 41.1948519854782),
7463,202802,İMRENLİ KÖYÜ,29.73847,41.146348,Sile,AGVA,YOK,KAPALI,İETTMODERN,Uygun Degil,29.0524990000113 40.9127959991187),
7464,202811,AKÇAKESE KÖYÜ,29.717481,41.143206,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0525110000114 41.0002459991169),
7465,202812,AKÇAKESE KÖYÜ,29.717402,41.143174,Sile,AGVA,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0525415668056 41.0276168317739),
7466,202821,KABAKOZ MERKEZ,29.689163,41.143408,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0525429538733 41.1651029682852),
7467,202822,KABAKOZ MERKEZ,29.689072,41.143472,Sile,AGVA,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0525470250961 41.0193359922814),
7468,202831,44 EVLER SİTESİ,29.65146798,41.14813296,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0525580937003 40.9034758753559),
7469,202832,44 EVLER SİTESİ,29.65155503,41.14804199,Sile,AGVA,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil,29.0525879665483 41.1649599633553),
7470,202841,İHLAS SOKAK,29.15847002,41.07303299,Beykoz,ÜMRANIYE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0526800000113 40.9106869991187),
7471,202842,İHLAS SOKAK,29.158539,41.073187,Beykoz,ÇAVUSBASI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0527699999905 41.0604840005635),
7472,202851,PAPATYA,29.242204,41.029479,Çekmeköy,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0528139999907 41.0115340005556),
