HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
KM71,YENİDOĞAN PERONLAR/ ADİL MAH. - CEVİZLİ,KM71/YENİDOĞAN PERONLAR/ ADİL MAH. - CEVİZLİ,1,Anadolu2,134.97
KM72,PENDİK/PENDİK METRO/ YHT - SULTANBEYLİ DEVLET HAST.,KM72/PENDİK/PENDİK METRO/ YHT - SULTANBEYLİ DEVLET HAST.,1,Anadolu2,122.63
MK1,METROKENT - ŞEHİR HASTANESİ,MK1/METROKENT - ŞEHİR HASTANESİ,1,Avrupa1,41.51
MK11,OLİMPİYATKÖY METRO - KAYAŞEHİR - GÜVERCİNTEPE,MK11/OLİMPİYATKÖY METRO - KAYAŞEHİR - GÜVERCİNTEPE,1,Avrupa1,48.55
MK12,OLİMPİYATKÖY METRO - GÜVERCİNTEPE - KAYAŞEHİR ,MK12/OLİMPİYATKÖY METRO - GÜVERCİNTEPE - KAYAŞEHİR,1,Avrupa1,46.79
MK13,ŞAHİNTEPE - OLİMPİYATKÖY METRO,MK13/ŞAHİNTEPE - OLİMPİYATKÖY METRO,1,Avrupa1,47.7
MK14,KİPTAŞ VADİTEPE - OLİMPİYATKÖY METRO,MK14/KİPTAŞ VADİTEPE - OLİMPİYATKÖY METRO,1,Avrupa1,92.3
MK15,BOĞAZKÖY / BAHÇEŞEHİR - OLİMPİYATKÖY METRO,MK15/BOĞAZKÖY / BAHÇEŞEHİR - OLİMPİYATKÖY METRO,1,Avrupa1,98.9
MK16,OLİMPİYATKÖY METRO - K.ÇEKMECE METROBÜS,MK16/OLİMPİYATKÖY METRO - K.ÇEKMECE METROBÜS,1,Avrupa1,96
MK19,AYAZMA SİTELERİ-ARENAPARK,MK19/AYAZMA SİTELERİ-ARENAPARK,1,Avrupa1,27.97
MK2,OLİMPİYATKÖY METRO - ŞEHİR HASTANESİ,MK2/OLİMPİYATKÖY METRO - ŞEHİR HASTANESİ,1,Avrupa1,20.19
MK22,TAŞOLUK PERON - METROKENT,MK22/TAŞOLUK PERON - METROKENT,1,Avrupa2,129
MK31,K.S.S HASTANESİ-BAŞAKŞEHİR/FENERTEPE PERON,MK31/K.S.S HASTANESİ-BAŞAKŞEHİR/FENERTEPE PERON,1,Avrupa1,142.07
MK42,15 TEMMUZ MAHALLESİ - KİRAZLI METRO,MK42/15 TEMMUZ MAHALLESİ - KİRAZLI METRO,1,Avrupa1,19.17
MK49,YUNUS EMRE MAHALLESİ - KAZIM KARABEKİR METRO,MK49/YUNUS EMRE MAHALLESİ - KAZIM KARABEKİR METRO,1,Avrupa2,24.88
MK53,YUNUSEMRE-ESENTEPE-TEKSTİLKENT METRO,MK53/YUNUSEMRE-ESENTEPE-TEKSTİLKENT METRO,1,Avrupa2,37.39
MK97,ÇAVUŞPAŞA-ZEYTİNBURNU,MK97/ÇAVUŞPAŞA-ZEYTİNBURNU,1,Avrupa1,51.21
MR10,ZEYTİNBURNU - KAZLIÇEŞME,MR10/ZEYTİNBURNU - KAZLIÇEŞME,1,Avrupa2,25.18
MR11,KAZLIÇEŞME - TOPKAPI,MR11/KAZLIÇEŞME - TOPKAPI,1,Avrupa2,30.37
MR20,YENİBOSNA METRO - KAZLIÇEŞME,MR20/YENİBOSNA METRO - KAZLIÇEŞME,1,Avrupa1,49.01
MR40,K.S.S. HASTANESİ - ATAKENT - HALKALI MARMARAY,MR40/K.S.S. HASTANESİ - ATAKENT - HALKALI MARMARAY,1,Avrupa1,61.79
MR42,HALKALI MARMARAY - İNÖNÜ MAHALLESİ,MR42/HALKALI MARMARAY - İNÖNÜ MAHALLESİ,1,Avrupa1,43.11
MR50,HALKALI MARMARAY - ŞEHİR HASTANESİ,MR50/HALKALI MARMARAY - ŞEHİR HASTANESİ,1,Avrupa1,84.04
MR51,İ.Ü. CERRAHPAŞA KAMPÜSÜ/BAHÇEŞEHİR - HALKALI MARMARAY,MR51/İ.Ü. CERRAHPAŞA KAMPÜSÜ/BAHÇEŞEHİR - HALKALI MARMARAY,1,Avrupa1,148.94
MR60,PENDİK/PENDİK YHT-SABİHA GÖKÇEN HAVALİMANI,MR60/PENDİK/PENDİK YHT-SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,100.71
MR61,GÜZELYALI-TUZLA DEVLET HASTANESİ,MR61/GÜZELYALI-TUZLA DEVLET HASTANESİ,1,Anadolu2,41.01
MR9,ÇAMLIK - AYRILIKÇEŞME,MR9/ÇAMLIK - AYRILIKÇEŞME,1,Anadolu2,108.42
SG-1,KADIKÖY - SABİHA GÖKÇEN HAVALİMANI,SG-1/KADIKÖY - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,173.2
SG-2,TAKSİM - SABİHA GÖKÇEN HAVALİMANI,SG-2/TAKSİM - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,225.13
T2,TAKSİM - TÜNEL,T2/TAKSİM - TÜNEL,1,Avrupa3,9.45
U1,BEŞİKTAŞ-ULUS,U1/BEŞİKTAŞ-ULUS,1,Avrupa3,26.39
U2,BEŞİKTAŞ-ULUS,U2/BEŞİKTAŞ-ULUS,1,Avrupa3,25.45
UM11,KİRAZLITEPE-KISIKLI METRO-ESATPAŞA,UM11/KİRAZLITEPE-KISIKLI METRO-ESATPAŞA,1,Anadolu1,44.35
UM13,KÜÇÜKSU / YAVUZTÜRK MAHALLESİ - ÜMRANİYE EĞT.ARŞ.HST.,UM13/KÜÇÜKSU / YAVUZTÜRK MAHALLESİ - ÜMRANİYE EĞT.ARŞ.HST.,1,Anadolu1,52.64
UM40,ATATÜRK MAH./ TAŞDELEN - NECİP FAZIL METRO,UM40/ATATÜRK MAH./ TAŞDELEN - NECİP FAZIL METRO,1,Anadolu2,55.28
UM60,SANCAKTEPE - NECİP FAZIL METRO,UM60/SANCAKTEPE - NECİP FAZIL METRO,1,Anadolu2,74.42
UM61,PAŞAKÖY/YENİDOĞAN-NECİP FAZIL METRO,UM61/PAŞAKÖY/YENİDOĞAN-NECİP FAZIL METRO,1,Anadolu2,55.16
UM62,YENİDOĞAN/TAŞDELEN-NECİP FAZIL METRO,UM62/YENİDOĞAN/TAŞDELEN-NECİP FAZIL METRO,1,Anadolu2,55.37
UM73,SULTANBEYLİ-NECİP FAZIL METRO,UM73/SULTANBEYLİ-NECİP FAZIL METRO,1,Anadolu2,107.41
