HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
133P,TEPEÖREN - TUZLA,133P/TEPEÖREN - TUZLA,1,Anadolu2,101.4
133Ş,ÇAĞDAŞKENT/ ŞEKERPINAR MAH. - KARTAL,133Ş/ÇAĞDAŞKENT/ ŞEKERPINAR MAH. - KARTAL,1,Anadolu2,170.15
133T,DENİZ HARP OKULU-MALTEPE PERONLAR,133T/DENİZ HARP OKULU-MALTEPE PERONLAR,1,Anadolu2,144.12
133TM,MİMARSİNAN MAHALLESİ - TUZLA,133TM/MİMARSİNAN MAHALLESİ - TUZLA,1,Anadolu2,78.22
133Ü,GAZİ BULVARI/ ORHANLI - PENDİK METRO/YHT/PENDİK,133Ü/GAZİ BULVARI/ ORHANLI - PENDİK METRO/YHT/PENDİK,1,Anadolu2,155.54
134,VIAPORT / HİLAL KONUTLARI - KARTAL,134/VIAPORT / HİLAL KONUTLARI - KARTAL,1,Anadolu2,99.43
134CK,VELİBABA KİPTAŞ KONUTLARI / CEZAEVİ - KARTAL,134CK/VELİBABA KİPTAŞ KONUTLARI / CEZAEVİ - KARTAL,1,Anadolu2,53.18
134GK,UĞURMUMCU/ GÜMÜŞPINAR - KARTAL,134GK/UĞURMUMCU/ GÜMÜŞPINAR - KARTAL,1,Anadolu2,50.83
134UK,UĞURMUMCU - KARTAL,134UK/UĞURMUMCU - KARTAL,1,Anadolu2,76.02
134YK,UĞURMUMCU - YAKACIK - KARTAL,134YK/UĞURMUMCU - YAKACIK - KARTAL,1,Anadolu2,80.71
135,POYRAZKÖY - KAVACIK,135/POYRAZKÖY - KAVACIK,1,Anadolu1,118.46
135A,ACARKENT / GÖRELE MAHALLESİ - KAVACIK,135A/ACARKENT / GÖRELE MAHALLESİ - KAVACIK,1,Anadolu1,96.54
135G,TOKATKÖY - ÇAVUŞBAŞI,135G/TOKATKÖY - ÇAVUŞBAŞI,1,Anadolu1,99.46
135K,KARLITEPE - ORTAÇEŞME,135K/KARLITEPE - ORTAÇEŞME,1,Anadolu1,66.74
135T,ARKBOYU - TOKATKÖY,135T/ARKBOYU - TOKATKÖY,1,Anadolu1,83.32
136,DEĞİRMENDERE - KAVACIK,136/DEĞİRMENDERE - KAVACIK,1,Anadolu1,177.67
136B,TÜRK ALMAN ÜNİVERSİTESİ - KAVACIK/HEKİMBAŞI,136B/TÜRK ALMAN ÜNİVERSİTESİ - KAVACIK/HEKİMBAŞI,1,Anadolu1,102.92
136R,RİVA - YENİ RİVA YOLU / KAVACIK,136R/RİVA - YENİ RİVA YOLU / KAVACIK,1,Anadolu1,142.85
136Z,ALİ BAHADIR / ZERZEVAT - KAVACIK,136Z/ALİ BAHADIR / ZERZEVAT - KAVACIK,1,Anadolu1,149.38
137,CUMHURİYET KÖYÜ / RİVA - BEYKOZ / KAVACIK,137/CUMHURİYET KÖYÜ / RİVA - BEYKOZ / KAVACIK,1,Anadolu1,300.21
138,CUMHURİYET KÖYÜ / ÖMERLİ - ÜMRANİYE,138/CUMHURİYET KÖYÜ / ÖMERLİ - ÜMRANİYE,1,Anadolu1,209.76
138B,GÖLLÜ/ÖMERLİ-ÜMRANİYE,138B/GÖLLÜ/ÖMERLİ-ÜMRANİYE,1,Anadolu1,249.39
139,ÜSKÜDAR - ŞİLE,139/ÜSKÜDAR - ŞİLE,1,Anadolu1,322.54
139A,ÜSKÜDAR - ŞİLE / AĞVA,139A/ÜSKÜDAR - ŞİLE / AĞVA,1,Anadolu1,481.56
139D,BEREKET SİTESİ-DARLIK,139D/BEREKET SİTESİ-DARLIK,1,Anadolu1,356.74
139S,ÜSKÜDAR-SOFULAR KÖYÜ,139S/ÜSKÜDAR-SOFULAR KÖYÜ,1,Anadolu1,350.37
139T,TEPEÜSTÜ - ŞİLE,139T/TEPEÜSTÜ - ŞİLE,1,Anadolu1,278.5
13AB,ALTUNİZADE - ATAŞEHİR / BOSTANCI,13AB/ALTUNİZADE - ATAŞEHİR / BOSTANCI,1,Anadolu1,89.87
13B,YENİŞEHİR - KADIKÖY,13B/YENİŞEHİR - KADIKÖY,1,Anadolu1,90.27
13H,EVTAŞ BLOKLARI - ÜMRANİYE METRO / Ü.EĞT.ARŞ.HASTANESİ ,13H/EVTAŞ BLOKLARI - ÜMRANİYE METRO / Ü.EĞT.ARŞ.HASTANESİ,1,Anadolu1,63.43
13M,ŞERİFALİ - ÜSKÜDAR,13M/ŞERİFALİ - ÜSKÜDAR,1,Anadolu1,100.37
13Y,ÇAKMAK MAHALLESİ / YENİSAHRA - KADIKÖY,13Y/ÇAKMAK MAHALLESİ / YENİSAHRA - KADIKÖY,1,Anadolu1,97.36
14,YENİDOĞAN/ ÜMRANİYE - KADIKÖY,14/YENİDOĞAN/ ÜMRANİYE - KADIKÖY,1,Anadolu2,133.63
141A,ATAKENT - MEHMET AKİF ERSOY CADDESİ,141A/ATAKENT - MEHMET AKİF ERSOY CADDESİ,1,Avrupa1,106.68
141K,K.S.S. HASTANESİ - MAHMUTBEY METRO,141K/K.S.S. HASTANESİ - MAHMUTBEY METRO,1,Avrupa1,77.93
141M,K.S.S. HASTANESİ - MECİDİYEKÖY,141M/K.S.S. HASTANESİ - MECİDİYEKÖY,1,Avrupa1,157.61
142,BOĞAZKÖY - AVCILAR METROBÜS,142/BOĞAZKÖY - AVCILAR METROBÜS,1,Avrupa1,91.23
142A,BOĞAZKÖY - AVCILAR METROBÜS,142A/BOĞAZKÖY - AVCILAR METROBÜS,1,Avrupa1,99.16
142B,K.S.S. HASTANESİ - BÜYÜKÇEKMECE,142B/K.S.S. HASTANESİ - BÜYÜKÇEKMECE,1,Avrupa1,157.46
142E,ESENYURT KİPTAŞ 4. ETAP - AKSARAY,142E/ESENYURT KİPTAŞ 4. ETAP - AKSARAY,1,Avrupa1,176.73
142ES,İ.Ü.CERRAHPAŞA KAMPÜS - AVCILAR METROBÜS,142ES/İ.Ü.CERRAHPAŞA KAMPÜS - AVCILAR METROBÜS,1,Avrupa1,116.25
142F,YEŞİLKENT - AVCILAR METROBÜS,142F/YEŞİLKENT - AVCILAR METROBÜS,1,Avrupa1,51.27
142K,ESENYURT KİPTAŞ 4.ETAP - AVCILAR METROBÜS,142K/ESENYURT KİPTAŞ 4.ETAP - AVCILAR METROBÜS,1,Avrupa1,35.45
142T,TÜYAP METROBÜS-K.S.S HASTANESİ,142T/TÜYAP METROBÜS-K.S.S HASTANESİ,1,Avrupa1,101.5
143,KÜÇÜKÇEKMECE - İSTOÇ,143/KÜÇÜKÇEKMECE - İSTOÇ,1,Avrupa1,116.44
144A,DELİKLİKAYA - AVCILAR METROBÜS,144A/DELİKLİKAYA - AVCILAR METROBÜS,1,Avrupa1,109.86
144B,DELİKLİKAYA -YEŞİLBAYIR KÖYÜ- YEŞİLKENT,144B/DELİKLİKAYA -YEŞİLBAYIR KÖYÜ- YEŞİLKENT,1,Avrupa1,142.2
144H,HEYBETLİ SOK./DELİKLİKAYA - HARAMİDERE,144H/HEYBETLİ SOK./DELİKLİKAYA - HARAMİDERE,1,Avrupa1,472.32
144K,HADIMKÖY KİPTAŞ 3. ETAP-ESENKENT,144K/HADIMKÖY KİPTAŞ 3. ETAP-ESENKENT,1,Avrupa1,60.02
144M,DELİKLİKAYA-MAHMUTBEY METRO,144M/DELİKLİKAYA-MAHMUTBEY METRO,1,Avrupa1,153.94
145,İHLAS MARMARA EVLERİ - AVCILAR METROBÜS ,145/İHLAS MARMARA EVLERİ - AVCILAR METROBÜS,1,Avrupa1,70.36
145M,YEŞİLKENT / BEYKENT - TAKSİM,145M/YEŞİLKENT / BEYKENT - TAKSİM,1,Avrupa1,227.09
145T,BEYLİKDÜZÜ - TAKSİM,145T/BEYLİKDÜZÜ - TAKSİM,1,Avrupa1,224.8
146,BOĞAZKÖY / BAHÇEŞEHİR - BAKIRKÖY,146/BOĞAZKÖY / BAHÇEŞEHİR - BAKIRKÖY,1,Avrupa1,162.87
146A,ESENKENT - BİRLİK MAHALLESİ,146A/ESENKENT - BİRLİK MAHALLESİ,1,Avrupa1,120.24
146B,METROKENT-EMİNÖNÜ,146B/METROKENT-EMİNÖNÜ,1,Avrupa1,147.39
146BA,FENERTEPE PERON/BAŞAKŞEHİR-AVCILAR METROBÜS,146BA/FENERTEPE PERON/BAŞAKŞEHİR-AVCILAR METROBÜS,1,Avrupa1,200.32
146F,FENERTEPE PERON/BAŞAKŞEHİR-BAHÇEŞEHİR,146F/FENERTEPE PERON/BAŞAKŞEHİR-BAHÇEŞEHİR,1,Avrupa1,178.67
146K,FENERTEPE PERON - BİRLİK MAHALLESİ,146K/FENERTEPE PERON - BİRLİK MAHALLESİ,1,Avrupa1,125.07
146M,MECİDİYEKÖY - METROKENT,146M/MECİDİYEKÖY - METROKENT,1,Avrupa3,154.9
146T,BOĞAZKÖY / BAHÇEŞEHİR - YENİKAPI,146T/BOĞAZKÖY / BAHÇEŞEHİR - YENİKAPI,1,Avrupa1,183.74
147,ŞAHİNTEPE - AVCILAR CİHANGİR MAHALLESİ,147/ŞAHİNTEPE - AVCILAR CİHANGİR MAHALLESİ,1,Avrupa1,132.89
14A,ALEMDAĞ - KADIKÖY,14A/ALEMDAĞ - KADIKÖY,1,Anadolu2,150.2
14AK,ALEMDAĞ - ZİVERBEY / KADIKÖY,14AK/ALEMDAĞ - ZİVERBEY / KADIKÖY,1,Anadolu2,143.96
14B,ADEM YAVUZ MAHALLESİ - KADIKÖY,14B/ADEM YAVUZ MAHALLESİ - KADIKÖY,1,Anadolu1,98.03
14BK,ÇEKMEKÖY/PARSELLER MAH-KADIKÖY ,14BK/ÇEKMEKÖY/PARSELLER MAH-KADIKÖY,1,Anadolu1,102.09
14C,ÜSKÜDAR DEVLET HASTANESİ - KADIKÖY,14C/ÜSKÜDAR DEVLET HASTANESİ - KADIKÖY,1,Anadolu1,29.95
14CE,ÇEKMEKÖY - KADIKÖY ,14CE/ÇEKMEKÖY - KADIKÖY,1,Anadolu2,123.93
14ÇK,ŞAHİNBEY - KADIKÖY,14ÇK/ŞAHİNBEY - KADIKÖY,1,Anadolu2,113.87
14D,DUMLUPINAR / KAZIMKARABEKİR - KADIKÖY,14D/DUMLUPINAR / KAZIMKARABEKİR - KADIKÖY,1,Anadolu1,78.76
14DK,İNKILAP MAHALLESİ - LİBADİYE CADDESİ / KADIKÖY,14DK/İNKILAP MAHALLESİ - LİBADİYE CADDESİ / KADIKÖY,1,Anadolu1,83.87
14E,KAZIM KARABEKİR - KADIKÖY,14E/KAZIM KARABEKİR - KADIKÖY,1,Anadolu1,75.66
14ES,ESENŞEHİR - KADIKÖY,14ES/ESENŞEHİR - KADIKÖY,1,Anadolu2,125.85
14F,KÜPLÜCE - KADIKÖY,14F/KÜPLÜCE - KADIKÖY,1,Anadolu1,57.68
14FD,FERAH MAHALLESİ - ÜSKÜDAR DEVLET HASTANESİ,14FD/FERAH MAHALLESİ - ÜSKÜDAR DEVLET HASTANESİ,1,Anadolu1,41.27
14K,KAZIM KARABEKİR - KADIKÖY,14K/KAZIM KARABEKİR - KADIKÖY,1,Anadolu1,63.71
14KS,SULTANBEYLİ GÖLET - KOZYATAĞI METRO,14KS/SULTANBEYLİ GÖLET - KOZYATAĞI METRO,1,Anadolu2,126.12
14M,KAVACIK YENİ CAMİ - KADIKÖY,14M/KAVACIK YENİ CAMİ - KADIKÖY,1,Anadolu1,104.76
14R,RASATHANE - KADIKÖY,14R/RASATHANE - KADIKÖY,1,Anadolu1,78.68
14S,SULTANBEYLİ - KOZYATAĞI METRO,14S/SULTANBEYLİ - KOZYATAĞI METRO,1,Anadolu2,137.61
14ŞB,ŞAHİNBEY - KADIKÖY,14ŞB/ŞAHİNBEY - KADIKÖY,1,Anadolu2,121.99
14T,ATATÜRK MAH./ TAŞDELEN - KOZYATAĞI METRO ,14T/ATATÜRK MAH./ TAŞDELEN - KOZYATAĞI METRO,1,Anadolu2,117.5
14TM,TEPEÜSTÜ-MALTEPE METRO/CEVİZLİ PERONLAR,14TM/TEPEÜSTÜ-MALTEPE METRO/CEVİZLİ PERONLAR,1,Anadolu1,112.01
14Y,YAVUZTÜRK MAHALLESİ - KADIKÖY,14Y/YAVUZTÜRK MAHALLESİ - KADIKÖY,1,Anadolu1,55.13
14YE,YAVUZTÜRK MAHALLESİ / ÜMRANİYE - EMEK MAHALLESİ,14YE/YAVUZTÜRK MAHALLESİ / ÜMRANİYE - EMEK MAHALLESİ,1,Anadolu1,89.45
14YK,YENİDOĞAN / ŞİLE YOLU - AYRILIKÇEŞME,14YK/YENİDOĞAN / ŞİLE YOLU - AYRILIKÇEŞME,1,Anadolu2,140.04
15,BEYKOZ - ÜSKÜDAR,15/BEYKOZ - ÜSKÜDAR,1,Anadolu1,101.93
150,HACIOSMAN METRO - RUMELİFENERİ,150/HACIOSMAN METRO - RUMELİFENERİ,1,Avrupa3,103.55
151,HACIOSMAN METRO - KİLYOS / DEMİRCİKÖY,151/HACIOSMAN METRO - KİLYOS / DEMİRCİKÖY,1,Avrupa3,97.07
152,HACIOSMAN METRO - ZEKERİYAKÖY / KISIRKAYA,152/HACIOSMAN METRO - ZEKERİYAKÖY / KISIRKAYA,1,Avrupa3,115.74
153,BAHÇEKÖY - SARIYER,153/BAHÇEKÖY - SARIYER,1,Avrupa3,45.31
154,HACIOSMAN METRO - KOÇ ÜNİVERSİTESİ,154/HACIOSMAN METRO - KOÇ ÜNİVERSİTESİ,1,Avrupa3,64.41
15A,ANADOLUKAVAĞI - KAVACIK,15A/ANADOLUKAVAĞI - KAVACIK,1,Anadolu1,103.37
15B,TOPAĞACI MAHALLESİ / GÜZELTEPE - ÜSKÜDAR,15B/TOPAĞACI MAHALLESİ / GÜZELTEPE - ÜSKÜDAR,1,Anadolu1,69.54
15BK,DERESEKİ / BEYKOZ - KADIKÖY,15BK/DERESEKİ / BEYKOZ - KADIKÖY,1,Anadolu1,174.09
15C,BÜYÜK ÇAMLICA CAMİİ/FERAH MAHALLESİ - ÜSKÜDAR,15C/BÜYÜK ÇAMLICA CAMİİ/FERAH MAHALLESİ - ÜSKÜDAR,1,Anadolu1,40.92
15CA,BÜYÜK ÇAMLICA CAMİİ / BULGURLU METRO - GÖZTEPE KÖPRÜSÜ,15CA/BÜYÜK ÇAMLICA CAMİİ / BULGURLU METRO - GÖZTEPE KÖPRÜSÜ,1,Anadolu1,26.56
15ÇB,KAVACIK - ÇAVUŞBAŞI / ÇENGELDERE,15ÇB/KAVACIK - ÇAVUŞBAŞI / ÇENGELDERE,1,Anadolu1,55.55
15ÇK,GÜZELTEPE - KADIKÖY ,15ÇK/GÜZELTEPE - KADIKÖY,1,Anadolu1,95.71
15D,ANADOLUFENERİ /KAYNARCA / DERESEKİ - KAVACIK,15D/ANADOLUFENERİ /KAYNARCA / DERESEKİ - KAVACIK,1,Anadolu1,128.23
15E,TEKKE MEVKİİ - ÜSKÜDAR,15E/TEKKE MEVKİİ - ÜSKÜDAR,1,Anadolu1,81.91
15F,BEYKOZ - KADIKÖY,15F/BEYKOZ - KADIKÖY,1,Anadolu1,138.14
15H,HEKİMBAŞI - ÜSKÜDAR,15H/HEKİMBAŞI - ÜSKÜDAR,1,Anadolu1,63.07
15K,KİRAZLITEPE - ÜSKÜDAR,15K/KİRAZLITEPE - ÜSKÜDAR,1,Anadolu1,31.52
15KÇ,KARANLIKDERE / ÇAVUŞBAŞI - ÜSKÜDAR,15KÇ/KARANLIKDERE / ÇAVUŞBAŞI - ÜSKÜDAR,1,Anadolu1,132.26
15M,KAVACIK YENİ CAMİ - ÜSKÜDAR,15M/KAVACIK YENİ CAMİ - ÜSKÜDAR,1,Anadolu1,76.86
15N,ARKBOYU - ÜSKÜDAR,15N/ARKBOYU - ÜSKÜDAR,1,Anadolu1,60.15
15P,SOĞUKSU MAHALLESİ - ÜSKÜDAR,15P/SOĞUKSU MAHALLESİ - ÜSKÜDAR,1,Anadolu1,100.42
15R,RASATHANE - ÜSKÜDAR,15R/RASATHANE - ÜSKÜDAR,1,Anadolu1,46.5
15S,SULTANMURAT - ÜSKÜDAR,15S/SULTANMURAT - ÜSKÜDAR,1,Anadolu1,40.4
15SD,SULTANİYE-DUDULLU İMES,15SD/SULTANİYE-DUDULLU İMES,1,Anadolu1,110.45
15SK,SULTANMURAT - KADIKÖY,15SK/SULTANMURAT - KADIKÖY,1,Anadolu1,74.47
15ŞN,ŞENEVLER - ÜSKÜDAR,15ŞN/ŞENEVLER - ÜSKÜDAR,1,Anadolu1,74.58
15T,TOKATKÖY - ÜSKÜDAR,15T/TOKATKÖY - ÜSKÜDAR,1,Anadolu1,105.98
15TA,TÜRK ALMAN ÜNİVERSİTESİ-KAVACIK,15TA/TÜRK ALMAN ÜNİVERSİTESİ-KAVACIK,1,Anadolu1,59.47
15TK,TOKATKÖY-KADIKÖY,15TK/TOKATKÖY-KADIKÖY,1,Anadolu1,163.08
15TY,TOKATKÖY / BEYKOZ - YENİMAHALLE,15TY/TOKATKÖY / BEYKOZ - YENİMAHALLE,1,Anadolu1,95.76
15U,TUFAN MAHALLESİ - ÜSKÜDAR ,15U/TUFAN MAHALLESİ - ÜSKÜDAR,1,Anadolu1,42.26
15Y,YENİMAHALLE - ÜSKÜDAR,15Y/YENİMAHALLE - ÜSKÜDAR,1,Anadolu1,66.38
15YK,YENİMAHALLE - KADIKÖY,15YK/YENİMAHALLE - KADIKÖY,1,Anadolu1,130.28
15Z,GÜZELTEPE - ÜSKÜDAR,15Z/GÜZELTEPE - ÜSKÜDAR,1,Anadolu1,43.59
16,PENDİK - KADIKÖY,16/PENDİK - KADIKÖY,1,Anadolu2,137.17
16A,PENDİK - ÜSKÜDAR,16A/PENDİK - ÜSKÜDAR,1,Anadolu2,155.97
16D,ALTKAYNARCA / PENDİK - KADIKÖY,16D/ALTKAYNARCA / PENDİK - KADIKÖY,1,Anadolu2,142.26
16F,FINDIKLI MAHALLESİ - HAREM,16F/FINDIKLI MAHALLESİ - HAREM,1,Anadolu1,88.36
16KH,YENİŞEHİR / MARMARA ÜNİV. HASTANESİ - KADIKÖY,16KH/YENİŞEHİR / MARMARA ÜNİV. HASTANESİ - KADIKÖY,1,Anadolu2,191.92
16M,ACARLAR SİTESİ / ATAŞEHİR - ÜSKÜDAR,16M/ACARLAR SİTESİ / ATAŞEHİR - ÜSKÜDAR,1,Anadolu1,87.08
16S,S. G. HAVALİMANI - UZUNÇAYIR METROBÜS/HAREM PERONLAR,16S/S. G. HAVALİMANI - UZUNÇAYIR METROBÜS/HAREM PERONLAR,1,Anadolu2,195.21
16U,UĞURMUMCU - ÜSKÜDAR,16U/UĞURMUMCU - ÜSKÜDAR,1,Anadolu2,153.35
16YK,Y.TEPE ÜNİV. / FINDIKLI MAHALLESİ - KOZYATAĞI METRO,16YK/Y.TEPE ÜNİV. / FINDIKLI MAHALLESİ - KOZYATAĞI METRO,1,Anadolu1,39.42
17,PENDİK - KADIKÖY,17/PENDİK - KADIKÖY,1,Anadolu2,135.7
17L,KÜÇÜKYALI LOJMANLARI - KADIKÖY,17L/KÜÇÜKYALI LOJMANLARI - KADIKÖY,1,Anadolu1,81.46
17S,UĞURMUMCU - BOSTANCI,17S/UĞURMUMCU - BOSTANCI,1,Anadolu2,105
18,SULTANBEYLİ - UZUNÇAYIR METROBÜS/ ÜSKÜDAR,18/SULTANBEYLİ - UZUNÇAYIR METROBÜS/ ÜSKÜDAR,1,Anadolu2,165.62
18A,SULTANBEYLİ - ACIBADEM METRO,18A/SULTANBEYLİ - ACIBADEM METRO,1,Anadolu2,138.13
18D,SULTANBEYLİ - KADIKÖY,18D/SULTANBEYLİ - KADIKÖY,1,Anadolu2,152.97
18E,YENİDOĞAN / SAMANDIRA - KADIKÖY,18E/YENİDOĞAN / SAMANDIRA - KADIKÖY,1,Anadolu2,154.36
18F,VEYSEL KARANİ / FATİH MAH. - KADIKÖY,18F/VEYSEL KARANİ / FATİH MAH. - KADIKÖY,1,Anadolu2,164.65
18K,SULTANBEYLİ GÖLET - KADIKÖY,18K/SULTANBEYLİ GÖLET - KADIKÖY,1,Anadolu2,152.97
18M,SULTANBEYLİ MİMARSİNAN - UZUNÇAYIR METROBÜS,18M/SULTANBEYLİ MİMARSİNAN - UZUNÇAYIR METROBÜS,1,Anadolu2,136.52
18Ü,SULTANBEYLİ - ÜSKÜDAR,18Ü/SULTANBEYLİ - ÜSKÜDAR,1,Anadolu2,177.12
18UK,UZUNDERE-KOZYATAĞI,18UK/UZUNDERE-KOZYATAĞI,1,Anadolu2,127.81
18V,VEYSEL KARANİ / SAMANDIRA - KADIKÖY,18V/VEYSEL KARANİ / SAMANDIRA - KADIKÖY,1,Anadolu2,135.91
18Y,YENİDOĞAN / SAMANDIRA - ÜSKÜDAR,18Y/YENİDOĞAN / SAMANDIRA - ÜSKÜDAR,1,Anadolu2,199.71
18YS,YENİDOĞAN-SULTANBEYLİ,18YS/YENİDOĞAN-SULTANBEYLİ,1,Anadolu2,122.81
19,FERHATPAŞA / YEDİTEPE ÜNİVERSİTESİ - KADIKÖY,19/FERHATPAŞA / YEDİTEPE ÜNİVERSİTESİ - KADIKÖY,1,Anadolu1,95.34
19A,YENİDOĞAN - AYRILIKÇEŞME,19A/YENİDOĞAN - AYRILIKÇEŞME,1,Anadolu2,133.25
19B,BAŞIBÜYÜK MAHALLESİ - KADIKÖY,19B/BAŞIBÜYÜK MAHALLESİ - KADIKÖY,1,Anadolu1,93.29
19D,ÜMRANİYE - BOSTANCI,19D/ÜMRANİYE - BOSTANCI,1,Anadolu1,92.65
19E,YENİDOĞAN/ ATAŞEHİR - KOZYATAĞI METRO,19E/YENİDOĞAN/ ATAŞEHİR - KOZYATAĞI METRO,1,Anadolu2,97.17
19EK,YENİDOĞAN/ ATAŞEHİR - KADIKÖY,19EK/YENİDOĞAN/ ATAŞEHİR - KADIKÖY,1,Anadolu2,142.5
19ES,ESENŞEHİR - KADIKÖY ,19ES/ESENŞEHİR - KADIKÖY,1,Anadolu2,106.8
19F,YEDİTEPE ÜNİV. / FINDIKLI MAHALLESİ - KADIKÖY,19F/YEDİTEPE ÜNİV. / FINDIKLI MAHALLESİ - KADIKÖY,1,Anadolu1,74.58
19FB,FINDIKLI MAHALLESİ - BOSTANCI,19FB/FINDIKLI MAHALLESİ - BOSTANCI,1,Anadolu1,72.05
19FK,FINDIKLI MAHALLESİ - AYRILIKÇEŞME,19FK/FINDIKLI MAHALLESİ - AYRILIKÇEŞME,1,Anadolu1,77.53
19FS,FERHATPAŞA - SOYAK YENİŞEHİR ,19FS/FERHATPAŞA - SOYAK YENİŞEHİR,1,Anadolu1,96.12
19K,ACARLAR SİTESİ / KAYIŞDAĞI - KADIKÖY,19K/ACARLAR SİTESİ / KAYIŞDAĞI - KADIKÖY,1,Anadolu1,73.4
19M,ACARLAR SİTESİ / ATAŞEHİR - KADIKÖY,19M/ACARLAR SİTESİ / ATAŞEHİR - KADIKÖY,1,Anadolu1,73.85
19S,YENİDOĞAN / SARIGAZİ - KADIKÖY,19S/YENİDOĞAN / SARIGAZİ - KADIKÖY,1,Anadolu2,139.99
19SB,SULTANBEYLİ - BOSTANCI ,19SB/SULTANBEYLİ - BOSTANCI,1,Anadolu2,143.86
19T,FERHATPAŞA - KADIKÖY,19T/FERHATPAŞA - KADIKÖY,1,Anadolu1,90.03
19V,VEYSEL KARANİ / SAMANDIRA - KOZYATAĞI METRO,19V/VEYSEL KARANİ / SAMANDIRA - KOZYATAĞI METRO,1,Anadolu2,116.19
19Y,FERHATPAŞA - KADIKÖY,19Y/FERHATPAŞA - KADIKÖY,1,Anadolu1,87.69
19YK,YENİDOĞAN-KAYIŞDAĞI,19YK/YENİDOĞAN-KAYIŞDAĞI,1,Anadolu2,93.17
19Z,ZÜMRÜTEVLER - KADIKÖY,19Z/ZÜMRÜTEVLER - KADIKÖY,1,Anadolu1,113.08
2,BOSTANCI - HAREM,2/BOSTANCI - HAREM,1,Anadolu1,90.37
20,ORTAÇEŞME / KAVACIK - Ü.EĞT.ARŞ.HASTANESİ,20/ORTAÇEŞME / KAVACIK - Ü.EĞT.ARŞ.HASTANESİ,1,Anadolu1,137.96
20D,SARIGAZİ/YENİŞEHİR-KADIKÖY,20D/SARIGAZİ/YENİŞEHİR-KADIKÖY,1,Anadolu2,112.26
20E,ESATPAŞA - KADIKÖY,20E/ESATPAŞA - KADIKÖY,1,Anadolu1,55.18
20K,KAZIM KARABEKİR - KADIKÖY,20K/KAZIM KARABEKİR - KADIKÖY,1,Anadolu1,80.9
20Ü,ÜMRANİYE TEPEÜSTÜ - KADIKÖY,20Ü/ÜMRANİYE TEPEÜSTÜ - KADIKÖY,1,Anadolu1,75
22,İSTİNYE DEREİÇİ - KABATAŞ,22/İSTİNYE DEREİÇİ - KABATAŞ,1,Avrupa3,78.1
22B,BEBEK - KABATAŞ,22B/BEBEK - KABATAŞ,1,Avrupa3,39.46
22RE,FATİH SULTAN MEHMET - BEŞİKTAŞ,22RE/FATİH SULTAN MEHMET - BEŞİKTAŞ,1,Avrupa3,85.44
25,HACIOSMAN METRO - HAVANTEPE,25/HACIOSMAN METRO - HAVANTEPE,1,Avrupa3,39.45
251,PENDİK - MECİDİYEKÖY ,251/PENDİK - MECİDİYEKÖY,1,Anadolu2,176.77
252,KARTAL - MECİDİYEKÖY / ŞİŞLİ,252/KARTAL - MECİDİYEKÖY / ŞİŞLİ,1,Anadolu2,162.63
256,YEDİTEPE ÜNİVERSİTESİ / ATAŞEHİR - TAKSİM,256/YEDİTEPE ÜNİVERSİTESİ / ATAŞEHİR - TAKSİM,1,Anadolu1,144.35
25A,RUMELİKAVAĞI - HACIOSMAN METRO,25A/RUMELİKAVAĞI - HACIOSMAN METRO,1,Avrupa3,51.26
25C,TARABYAÜSTÜ / FERAHEVLER - İSTİNYE,25C/TARABYAÜSTÜ / FERAHEVLER - İSTİNYE,1,Avrupa3,41.46
25E,SARIYER - KABATAŞ,25E/SARIYER - KABATAŞ,1,Avrupa3,121.46
25G,SARIYER - TAKSİM,25G/SARIYER - TAKSİM,1,Avrupa3,105.83
25Y,HACIOSMAN METRO - YENİ UYUM SİTESİ,25Y/HACIOSMAN METRO - YENİ UYUM SİTESİ,1,Avrupa3,59.72
26,DİKİLİTAŞ - EMİNÖNÜ,26/DİKİLİTAŞ - EMİNÖNÜ,1,Avrupa3,50.76
26A,FULYA MAHALLESİ - EMİNÖNÜ,26A/FULYA MAHALLESİ - EMİNÖNÜ,1,Avrupa3,51.98
26B,FULYA MAHALLESİ - KABATAŞ,26B/FULYA MAHALLESİ - KABATAŞ,1,Avrupa3,60.14
27E,ŞİRİNTEPE - KABATAŞ,27E/ŞİRİNTEPE - KABATAŞ,1,Avrupa3,46.23
27SE,SEYRANTEPE - KABATAŞ,27SE/SEYRANTEPE - KABATAŞ,1,Avrupa3,57.14
27T,ŞİRİNTEPE - ŞİŞLİ,27T/ŞİRİNTEPE - ŞİŞLİ,1,Avrupa3,34.94
28,TOPKAPI / EDİRNEKAPI - BEŞİKTAŞ,28/TOPKAPI / EDİRNEKAPI - BEŞİKTAŞ,1,Avrupa2,59.5
28T,TOPKAPI - BEŞİKTAŞ,28T/TOPKAPI - BEŞİKTAŞ,1,Avrupa2,52.83
29,İSTİNYE DEREİÇİ - ZİNCİRLİKUYU METROBÜS,29/İSTİNYE DEREİÇİ - ZİNCİRLİKUYU METROBÜS,1,Avrupa3,43.78
29A,DERBENT MAHALLESİ - BEŞİKTAŞ,29A/DERBENT MAHALLESİ - BEŞİKTAŞ,1,Avrupa3,58.13
29B,FATİH SULTAN MEHMET - 4.LEVENT METRO,29B/FATİH SULTAN MEHMET - 4.LEVENT METRO,1,Avrupa3,51.56
