HATKODU,YON,SIRANO,DURAKKODU,XKOORDINATI,YKOORDINATI,YON,SEFER_SURESI
10,G,15,222221,29.103822,41.023313,1,102.92
10,G,16,222231,29.107098,41.023314,1,142.85
10,G,17,222241,29.111916,41.02247,1,149.38
10,G,18,222251,29.118264,41.020892,1,300.21
10,G,19,285991,29.122674,41.020285,1,209.76
10,G,20,214162,29.124851,41.019614,1,249.39
10,G,21,204921,29.124431,41.018355,1,322.54
10,G,22,204911,29.125959,41.017028,1,481.56
10,G,23,204451,29.127522,41.016275,1,356.74
10,G,24,214182,29.128574,41.015345,1,350.37
10,G,25,214192,29.127995,41.011926,1,278.5
10,G,26,214202,29.127662,41.010037,1,89.82
10,G,27,216131,29.12861,41.007334,1,89.87
10,G,28,261092,29.131267,41.006232,1,90.27
10,G,29,218912,29.134267,41.004968,1,63.43
10,G,30,219032,29.137742,41.00371,1,100.37
10,G,31,219022,29.139466,41.003,1,55.57
10,G,32,203931,29.14015,41.000738,1,97.36
10,G,33,208491,29.139903,40.998649,1,133.63
10,G,34,209151,29.138354,40.99727,1,106.68
10,G,35,209141,29.133707,40.997609,1,77.93
10,G,36,209993,29.129665,40.997599,1,157.61
10,G,37,262891,29.129151,40.995878,1,91.23
10,G,38,205773,29.127477,40.993433,1,99.16
10,G,39,208481,29.126206,40.990314,1,157.46
10,G,40,226893,29.122867,40.986648,1,176.73
10,G,41,213571,29.120127,40.98617,1,116.25
10,G,42,226901,29.120901,40.983807,1,51.27
10,G,43,226881,29.118352,40.983317,1,35.45
10,G,44,207201,29.116221,40.983513,1,101.5
10,G,45,210231,29.114636,40.98305,1,116.44
10,G,46,208351,29.112826,40.9818,1,109.86
10,G,47,226861,29.112961,40.979379,1,142.2
10,G,48,226394,29.113141,40.978395,1,472.32
10,G,49,226851,29.112268,40.975575,1,60.02
10,G,50,226841,29.113798,40.973428,1,153.94
10,G,51,226682,29.111454,40.970547,1,70.36
10,G,52,205701,29.109978,40.96993,1,227.09
10,G,53,206392,29.106437,40.968927,1,224.8
10,G,54,226791,29.106615,40.966867,1,162.87
10,G,55,225673,29.104545,40.964084,1,120.24
10,G,56,226781,29.102754,40.961478,1,147.39
10,G,57,230061,29.101235,40.957894,1,200.32
10,G,58,225191,29.099103,40.956491,1,178.09
10,G,59,225171,29.094866,40.957635,1,178.67
10,G,60,401181,29.094129,40.954977,1,125.07
10A,D,1,286221,29.181925,40.986703,0,154.9
10A,D,2,226552,29.179821,40.986086,0,183.74
10A,D,3,211461,29.176597,40.985953,0,132.89
10A,D,4,226542,29.174706,40.985964,0,150.2
10A,D,5,211472,29.172453,40.986642,0,143.96
10A,D,6,211482,29.169471,40.98762,0,98.03
10A,D,7,285911,29.167247,40.987443,0,102.09
10A,D,8,401021,29.166243,40.984547,0,29.95
10A,D,9,228921,29.16533,40.982465,0,123.93
10A,D,10,206412,29.161455,40.980165,0,113.87
10A,D,11,206401,29.156781,40.978409,0,78.76
10A,D,12,205642,29.153727,40.975083,0,83.87
10A,D,13,208042,29.150416,40.976879,0,75.66
10A,D,14,208032,29.147771,40.977465,0,125.85
10A,D,15,208062,29.145061,40.977975,0,57.68
10A,D,16,226611,29.140909,40.978564,0,41.27
10A,D,17,226601,29.138222,40.978752,0,63.71
10A,D,18,211431,29.135573,40.978808,0,126.12
10A,D,19,226591,29.132326,40.979127,0,104.76
10A,D,20,226581,29.128619,40.979294,0,78.68
10A,D,21,226421,29.124817,40.978756,0,137.61
10A,D,22,226411,29.121689,40.978235,0,121.99
10A,D,23,226401,29.117981,40.978621,0,117.5
10A,D,24,226391,29.113779,40.978988,0,112.01
10A,D,25,226381,29.110014,40.979194,0,55.13
10A,D,26,226371,29.105477,40.979503,0,89.45
10A,D,27,210532,29.104694,40.981864,0,140.04
10A,D,28,213562,29.107758,40.982041,0,101.93
10A,D,29,210232,29.115002,40.983129,0,103.55
10A,D,30,213862,29.116612,40.985056,0,97.07
10A,D,31,213572,29.119513,40.985752,0,115.74
10A,D,32,226894,29.122947,40.986504,0,45.31
10A,D,33,208482,29.126625,40.990517,0,64.41
10A,D,34,205762,29.123109,40.993085,0,103.37
10A,D,35,205752,29.11809,40.992694,0,69.54
10A,D,36,205744,29.116153,40.992683,0,174.09
10A,D,37,229041,29.11142,40.993655,0,40.92
10A,D,38,213821,29.108987,40.994452,0,26.56
10A,D,39,228951,29.106863,40.99515,0,55.55
10A,D,40,228991,29.105181,40.996336,0,95.71
10A,D,41,228981,29.103282,40.997748,0,128.23
10A,D,42,213551,29.102083,40.997923,0,81.91
10A,D,43,213581,29.099265,40.995999,0,138.14
10A,D,44,211871,29.097573,40.995078,0,63.07
10A,D,45,211861,29.095493,40.997764,0,31.52
10A,D,46,210111,29.098038,41.000848,0,84.01
10A,D,47,210112,29.098245,41.001272,0,132.26
10A,D,48,210102,29.093292,40.998855,0,76.86
10A,D,49,224431,29.08927,40.997351,0,60.15
10A,D,50,224472,29.085493,40.995842,0,100.42
10A,D,51,203712,29.083026,40.996078,0,46.5
10A,D,52,224572,29.081949,40.997431,0,40.4
10A,D,53,224562,29.079868,40.998987,0,110.45
10A,D,54,224552,29.079479,41.001482,0,74.47
10A,D,55,224542,29.081702,41.003623,0,74.58
10A,D,56,230382,29.084598,41.006235,0,105.98
10A,D,57,403161,29.08622,41.007507,0,59.47
10A,G,1,403161,29.08622,41.007507,1,163.08
10A,G,2,224512,29.087279,41.005825,1,95.76
10A,G,3,208541,29.085333,41.006506,1,42.26
10A,G,4,230381,29.084032,41.006001,1,66.38
10A,G,5,224541,29.081123,41.003179,1,130.28
10A,G,6,224551,29.079006,41.001562,1,43.59
10A,G,7,224561,29.079685,40.998913,1,137.17
10A,G,8,224571,29.081918,40.997231,1,155.97
10A,G,9,203711,29.08278,40.996219,1,149.04
10A,G,10,224471,29.085937,40.995852,1,169.55
10A,G,11,224431,29.08927,40.997351,1,142.26
10A,G,12,210102,29.093292,40.998855,1,88.36
10A,G,13,211861,29.095493,40.997764,1,40.77
10A,G,14,211872,29.097441,40.99498,1,191.92
10A,G,15,213582,29.099873,40.996207,1,87.08
10A,G,16,213552,29.102261,40.997834,1,195.21
10A,G,17,228982,29.103376,40.997481,1,153.35
10A,G,18,228992,29.105196,40.996094,1,135.88
10A,G,19,213822,29.108753,40.99425,1,39.42
10A,G,20,229042,29.111524,40.993301,1,190.44
10A,G,21,205751,29.118129,40.992436,1,135.7
10A,G,22,205761,29.123085,40.992837,1,142.69
10A,G,23,208481,29.126206,40.990314,1,179.91
10A,G,24,226893,29.122867,40.986648,1,81.46
10A,G,25,213571,29.120127,40.98617,1,185.88
10A,G,26,213861,29.116228,40.985015,1,105
10A,G,27,210231,29.114636,40.98305,1,165.62
10A,G,28,213561,29.108821,40.982117,1,138.13
10A,G,29,210532,29.104694,40.981864,1,152.97
10A,G,30,226372,29.10583,40.979253,1,154.36
10A,G,31,226382,29.10983,40.978962,1,164.65
10A,G,32,226392,29.114029,40.978769,1,152.97
10A,G,33,226402,29.116648,40.978451,1,136.52
10A,G,34,226412,29.120328,40.978163,1,177.12
10A,G,35,226422,29.124217,40.978101,1,127.81
10A,G,36,226582,29.129552,40.979019,1,135.91
10A,G,37,226592,29.133584,40.978736,1,199.71
10A,G,38,211432,29.136431,40.978537,1,122.81
10A,G,39,226602,29.138067,40.978521,1,95.34
10A,G,40,226612,29.139901,40.978404,1,133.25
10A,G,41,208061,29.144174,40.977845,1,93.29
10A,G,42,208031,29.147631,40.977189,1,92.65
10A,G,43,208041,29.150284,40.976642,1,97.17
10A,G,44,205641,29.153931,40.974534,1,142.5
10A,G,45,206402,29.156996,40.978331,1,106.8
10A,G,46,206411,29.161227,40.979514,1,74.58
10A,G,47,228922,29.16561,40.982419,1,72.05
10A,G,48,402021,29.166633,40.985015,1,77.53
10A,G,49,285912,29.167443,40.987704,1,96.12
10A,G,50,211481,29.169594,40.987463,1,108.28
10A,G,51,211471,29.172734,40.986429,1,73.4
10A,G,52,226541,29.174641,40.985849,1,73.85
10A,G,53,211462,29.176529,40.985842,1,139.99
10A,G,54,226551,29.179426,40.985973,1,143.86
10A,G,55,286221,29.181925,40.986703,1,90.03
10B,D,1,208831,29.02286,40.991382,0,116.19
10B,D,2,224671,29.025632,40.991015,0,87.69
10B,D,3,224691,29.029844,40.989955,0,93.17
10B,D,4,224712,29.034705,40.990596,0,113.08
10B,D,5,225022,29.036581,40.992612,0,90.37
10B,D,6,288371,29.04074,40.989901,0,137.96
10B,D,7,225032,29.043411,40.988203,0,114.9
10B,D,8,225042,29.047892,40.985999,0,112.26
10B,D,9,225051,29.051793,40.984766,0,55.18
10B,D,10,225064,29.055666,40.984581,0,80.9
10B,D,11,259303,29.059442,40.983853,0,75
10B,D,12,225072,29.063521,40.983002,0,117.31
10B,D,13,225082,29.069813,40.981272,0,90.93
10B,D,14,225093,29.076034,40.980094,0,101.65
10B,D,15,226251,29.080117,40.97987,0,94.29
10B,D,16,226241,29.084703,40.978553,0,127.04
10B,D,17,226231,29.086041,40.977374,0,10
10B,D,18,226221,29.089274,40.976014,0,140.93
10B,D,19,226212,29.092538,40.974758,0,71.85
10B,D,20,226201,29.096157,40.972264,0,78.1
10B,D,21,226191,29.100676,40.970309,0,137.88
10B,D,22,226181,29.102238,40.966065,0,39.46
10B,D,23,225171,29.094866,40.957635,0,26.87
10B,D,24,402181,29.094328,40.955695,0,85.44
10B,G,1,402181,29.094328,40.955695,1,39.45
10B,G,2,207311,29.095759,40.955885,1,176.77
10B,G,3,225181,29.09616,40.957985,1,162.63
10B,G,4,226172,29.097706,40.960492,1,144.35
10B,G,5,226152,29.099528,40.962094,1,51.26
10B,G,6,226182,29.101425,40.964496,1,41.46
10B,G,7,209381,29.103914,40.966187,1,121.46
10B,G,8,226192,29.100804,40.970453,1,105.83
10B,G,9,226202,29.096555,40.972227,1,33.83
10B,G,10,226211,29.092299,40.975133,1,29.23
10B,G,11,226222,29.08935,40.97615,1,101.03
10B,G,12,226232,29.086624,40.977309,1,59.72
10B,G,13,226242,29.084673,40.978833,1,50.76
10B,G,14,226271,29.087199,40.981371,1,51.98
10B,G,15,226281,29.084167,40.981426,1,60.14
10B,G,16,226291,29.079442,40.981121,1,46.23
10B,G,17,213751,29.073697,40.980639,1,57.14
10B,G,18,225081,29.069428,40.981585,1,34.94
10B,G,19,225071,29.063976,40.983089,1,59.5
10B,G,20,259302,29.059141,40.98414,1,52.83
10B,G,21,225063,29.05596,40.984763,1,43.78
10B,G,22,225052,29.051646,40.985033,1,58.13
10B,G,23,225041,29.048455,40.985991,1,51.56
10B,G,24,225031,29.042579,40.988915,1,84.74
10B,G,25,225021,29.03809,40.993826,1,85.74
10B,G,26,224701,29.033756,40.992193,1,64
10B,G,27,224692,29.029362,40.990734,1,36.77
10B,G,28,224672,29.025884,40.991183,1,32.56
10B,G,29,208831,29.02286,40.991382,1,34.82
10E,D,1,403031,29.024177,40.992825,0,37.75
10E,D,2,224671,29.025632,40.991015,0,65.68
10E,D,3,224691,29.029844,40.989955,0,45.04
10E,D,4,224712,29.034705,40.990596,0,52.53
10E,D,5,225022,29.036581,40.992612,0,183.46
10E,D,6,288371,29.04074,40.989901,0,260.3
10E,D,7,225032,29.043411,40.988203,0,287.81
10E,D,8,225042,29.047892,40.985999,0,231.43
10E,D,9,225051,29.051793,40.984766,0,402.59
10E,D,10,225064,29.055666,40.984581,0,288.94
10E,D,11,259303,29.059442,40.983853,0,26.88
10E,D,12,225072,29.063521,40.983002,0,65.33
10E,D,13,227251,29.071459,40.982795,0,39.17
10E,D,14,227261,29.073986,40.985995,0,19.32
10E,D,15,227181,29.073992,40.988142,0,89.21
10E,D,16,227271,29.07341,40.991202,0,86.36
10E,D,17,255624,29.073906,40.993423,0,101.83
10E,D,18,224441,29.077637,40.995629,0,19.68
10E,D,19,224451,29.080268,40.995431,0,111.93
10E,D,20,224461,29.082769,40.995488,0,78.96
10E,D,21,224572,29.081949,40.997431,0,88.44
10E,D,22,224562,29.079868,40.998987,0,156.44
10E,D,23,224552,29.079479,41.001482,0,110.09
10E,D,24,224542,29.081702,41.003623,0,58.83
10E,D,25,224532,29.082663,41.005195,0,75.44
10E,D,26,203722,29.081332,41.00692,0,88.87
10E,D,27,205822,29.08038,41.008864,0,97.22
10E,D,28,214122,29.079358,41.010446,0,172
10E,D,29,214112,29.079148,41.012386,0,206.53
10E,D,30,214102,29.07941,41.013878,0,93.56
10E,D,31,214132,29.081339,41.014377,0,117.88
10E,D,32,214142,29.082442,41.012795,0,166.47
10E,D,33,214152,29.083816,41.010631,0,213.84
10E,D,34,403161,29.08622,41.007507,0,175.84
10E,G,1,403161,29.08622,41.007507,1,134
10E,G,2,224512,29.087279,41.005825,1,132.05
10E,G,3,208541,29.085333,41.006506,1,101.88
10E,G,4,214151,29.0836,41.010627,1,107.92
10E,G,5,214141,29.08211,41.013105,1,60.95
10E,G,6,214131,29.08136,41.014113,1,79.63
10E,G,7,214101,29.079223,41.013655,1,76.56
10E,G,8,214111,29.0791,41.012094,1,104.9
10E,G,9,214121,29.079225,41.010451,1,85.31
10E,G,10,205821,29.08021,41.008868,1,88.25
10E,G,11,203721,29.080964,41.007333,1,100.14
10E,G,12,224531,29.08255,41.005115,1,144.26
10E,G,13,224541,29.081123,41.003179,1,10
10E,G,14,224551,29.079006,41.001562,1,10
10E,G,15,224561,29.079685,40.998913,1,10
10E,G,16,224571,29.081918,40.997231,1,109.43
10E,G,17,224462,29.082523,40.995624,1,10
10E,G,18,224452,29.079561,40.99565,1,10
10E,G,19,224442,29.077414,40.995751,1,10
10E,G,20,206083,29.073256,40.9951,1,198.81
10E,G,21,217802,29.072919,40.996492,1,10
10E,G,22,255623,29.073421,40.993748,1,10
10E,G,23,227272,29.072857,40.991338,1,10
10E,G,24,227182,29.073094,40.987577,1,47.74
10E,G,25,227103,29.069106,40.985862,1,10
10E,G,26,205831,29.06601,40.985043,1,189.73
10E,G,27,259302,29.059141,40.98414,1,10
10E,G,28,225063,29.05596,40.984763,1,10
