DURAKKODU,YON,HATKODU,SIRANO
100001,G,142A,36
100001,G,142ES,46
100002,D,142A,18
100002,D,142ES,16
100011,G,142A,39
100011,G,142ES,48
100012,D,142A,15
100012,D,142ES,14
100022,D,142A,11
100022,D,142ES,10
100032,D,142A,10
100032,D,142ES,9
100041,G,142A,43
100041,G,142ES,52
100042,D,142A,9
100042,D,142ES,8
100051,G,142A,44
100051,G,142ES,53
100052,D,142A,8
100052,D,142ES,7
100061,G,142A,45
100061,G,142ES,54
100062,D,142A,7
100062,D,142ES,6
100071,G,142F,2
100072,D,142F,36
100081,G,BM4,37
100082,D,BM4,16
100091,G,BM4,35
100092,D,BM4,18
100101,G,BM4,33
100102,D,BM4,20
100111,G,BM4,32
100112,D,BM4,21
100121,G,BM4,31
100131,G,BM4,30
100141,G,145,7
100141,G,76SM,5
100141,G,76Y,7
100141,G,BM4,14
100142,D,145,30
100142,D,76SM,23
100142,D,76Y,56
100142,D,BM4,38
100151,G,145,8
100151,G,76SM,6
100151,G,76Y,8
100151,G,BM4,15
100152,D,145,29
100152,D,76SM,22
100161,G,76BT,14
100161,G,76TM,14
100162,D,76BT,19
100162,D,76TM,53
100171,G,76BT,13
100171,G,76TM,13
100172,D,76BT,20
100172,D,76TM,54
100181,G,76BT,12
100181,G,76TM,12
100182,D,76BT,21
100182,D,76TM,55
100191,G,76BT,8
100191,G,76TM,8
100192,D,76BT,25
100192,D,76TM,59
100201,G,76BT,7
100201,G,76TM,7
100202,D,76BT,26
100202,D,76TM,60
100211,G,76BT,2
100211,G,76TM,2
100212,D,76BT,31
100212,D,76TM,65
100221,G,76BT,3
100221,G,76TM,3
100222,D,76BT,30
100222,D,76TM,64
100231,D,142B,66
100231,G,146A,22
100231,D,146F,25
100231,G,146T,31
100231,D,147,57
100231,G,76A,14
100231,G,76E,36
100231,G,76T,10
100231,G,76V,26
100231,G,E-57,27
100231,G,E-58,27
100231,G,MK14,26
100231,G,MK15,31
100231,G,MR51,43
100231,G,VİP,8
100232,G,142B,14
100232,D,142E,23
100232,D,146A,30
100232,G,146BA,53
100232,G,146F,52
100232,D,146T,35
100232,G,147,17
100232,D,76E,20
100232,D,76V,44
100232,D,E-57,18
100232,D,E-58,8
100232,D,HS2,27
100232,D,MK14,22
100232,D,MK15,22
100232,D,MR51,21
100241,D,142B,65
100241,G,146A,21
100241,D,146F,24
100241,G,146T,30
100241,D,147,56
100241,G,76A,13
100241,G,76E,35
100241,G,76T,9
100241,G,76V,25
100241,G,E-57,26
100241,G,E-58,26
100241,G,İST-15,4
100241,G,MK14,25
100241,G,MK15,30
100241,G,MR51,42
100241,G,VİP,7
100242,G,142B,15
100242,D,142E,24
100242,D,146A,31
100242,G,146BA,54
100242,G,146F,53
100242,D,146T,36
100242,G,147,18
100242,D,76A,35
100242,D,76E,21
100242,D,76T,19
100242,D,76V,45
100242,D,E-57,19
100242,D,E-58,9
100242,D,HS2,28
100242,D,İST-15,2
100242,D,MK14,23
100242,D,MK15,23
100242,D,MR51,22
100251,D,147,66
100252,G,147,8
100271,D,144B,6
100271,G,400A,5
100272,G,144B,43
100272,D,400A,30
100281,D,144B,7
100281,G,400A,6
100282,G,144B,42
100282,D,400A,29
100291,D,144B,11
100291,G,145M,5
100291,G,400A,10
100291,G,76GM,26
100292,G,144B,38
100292,D,145M,40
100292,D,400A,25
100292,D,76GM,6
100301,D,144B,13
100301,G,400A,12
100302,G,144B,36
100302,D,400A,23
100311,D,144B,14
100311,G,400A,13
100312,G,144B,35
100312,D,400A,22
100321,D,144B,15
100321,G,400A,14
100322,G,144B,34
100322,D,400A,21
100332,G,144B,33
100332,D,400A,20
100341,D,300,17
100341,D,300G,37
100341,G,303,16
100341,G,303A,17
100341,G,303B,30
100341,G,303C,30
100342,G,300,39
100342,G,300G,39
100342,D,303,67
100342,D,303A,56
100342,D,303B,29
100342,D,303C,56
100351,D,300,28
100351,D,300G,48
100351,G,303,27
100351,G,303A,28
100351,G,303B,41
100351,G,303C,41
100352,G,300,29
100352,G,300G,29
100352,D,303,57
100352,D,303A,46
100352,D,303B,19
100352,D,303C,46
100361,D,300,38
100361,D,300G,58
100361,G,303,37
100361,G,303A,38
100361,G,303C,51
100371,D,300,41
100371,D,300G,61
100371,G,303,40
100371,G,303A,41
100371,G,303C,54
100372,G,300,15
100372,G,300G,15
100372,D,303,43
100372,D,303A,32
100372,D,303C,32
100381,D,300,42
100381,D,300G,62
100381,G,303,41
100381,G,303A,42
100381,G,303C,55
100382,G,300,14
100382,G,300G,14
100382,D,303,42
100382,D,303A,31
100382,D,303C,31
100391,D,142B,14
100391,G,142B,61
100401,G,142B,65
100401,G,76BA,7
100401,G,76C,7
100411,G,143,48
100411,G,146E,30
100411,G,146K,30
100411,D,146M,12
100411,D,98KM,35
100411,D,MK31,22
100412,D,146E,17
100412,D,146K,21
100412,G,146M,28
100412,G,98KM,26
100412,G,MK31,39
100421,G,33B,15
100421,G,36CY,31
100421,G,55Y,45
100421,G,85T,9
100421,D,92M,13
100421,G,98G,24
100421,D,MK51,5
100421,G,MK51,24
100422,D,33B,42
100422,G,33E,17
100422,D,36CY,27
100422,G,92M,23
100422,D,98G,28
100431,D,36AY,19
100431,G,36AY,31
100431,D,79C,40
100431,G,MK11,23
100432,G,79C,20
100432,G,MK12,24
100441,G,36AY,32
100441,D,79C,41
100441,G,MK11,24
100442,D,36AY,18
100442,G,79C,19
100442,G,MK12,23
100451,G,36AY,33
100452,D,36AY,17
100491,G,145,24
100491,G,458,47
100491,G,76SM,23
100491,G,76Y,24
100501,G,145,25
100501,G,76Y,25
100502,D,145,13
100502,D,76Y,40
100511,G,142K,17
100512,D,142K,6
100521,G,142K,20
100522,D,142K,3
100531,G,145,5
100531,G,458,35
100531,G,76SM,3
100531,G,76Y,5
100531,G,BM4,12
100532,D,145,32
100532,D,458,29
100532,D,76SM,25
100532,D,76Y,58
100532,D,BM4,40
100541,G,145,6
100541,G,458,36
100541,G,76SM,4
100541,G,76Y,6
100541,G,BM4,13
100542,D,145,31
100542,D,458,28
100542,D,76SM,24
100542,D,76Y,57
100542,D,BM4,39
100551,G,142K,16
100552,D,142K,7
100561,D,144B,27
100561,D,144H,20
100561,G,HT18,40
100562,G,144B,20
100562,G,144H,18
100562,D,418,28
100562,G,418,39
100562,D,HT18,13
100581,D,76SM,12
100581,G,76SM,16
100591,D,76SM,13
100592,G,76SM,15
100601,G,76SM,14
100602,D,76SM,14
100611,D,76SM,15
100611,G,76SM,13
100641,D,76BT,32
100641,G,76BT,1
100641,D,76TM,66
100641,G,76TM,1
100651,G,144B,24
100651,G,418,43
100651,D,ES2,10
100651,G,HT18,44
100652,G,ES2,30
100652,D,HT18,9
100661,D,143,2
100661,G,143,59
100661,G,146B,29
100661,G,146K,40
100661,D,146M,24
100661,G,31Y,15
100661,G,76O,51
100661,G,78,30
100661,G,78FB,40
100661,G,78M,40
100661,G,89F,34
100661,G,98M,2
100671,G,401T,4
100671,G,76BT,18
100671,G,76TM,18
100671,G,HT48,4
100672,D,401T,45
100672,D,76BT,15
100672,D,76TM,49
100672,D,HT48,52
100681,G,76BT,9
100681,G,76TM,9
100682,D,76BT,24
100682,D,76TM,58
100691,G,404,2
100692,D,404,45
100701,G,458,5
100702,D,458,58
100711,G,458,21
100711,G,76GM,20
100712,D,458,43
100712,D,76GM,12
100721,D,303B,51
100721,G,303B,1
100721,D,303C,78
100721,G,303C,1
100731,G,303B,2
100731,G,303C,2
100732,D,303B,50
100732,D,303C,77
100741,D,300G,13
100741,G,303B,6
100741,G,303C,6
100742,G,300G,64
100742,G,303B,3
100742,G,303C,3
100751,D,300G,11
100751,G,303B,4
100751,G,303C,4
100752,G,300G,65
100761,D,300G,12
100761,G,303B,5
100761,G,303C,5
100771,D,300G,16
100771,G,303B,9
100771,G,303C,9
100781,D,300G,18
100781,G,303B,11
100781,G,303C,11
100782,G,300G,59
100782,D,303B,49
100782,D,303C,76
100791,D,300G,19
100791,G,303B,12
100791,G,303C,12
100792,G,300G,58
100792,D,303B,48
100792,D,303C,75
100801,D,300G,20
100801,G,303B,13
100801,G,303C,13
100802,G,300G,57
100802,D,303B,47
100802,D,303C,74
100811,D,300G,22
100811,G,303B,15
100811,G,303C,15
100812,G,300G,55
100812,D,303B,45
100812,D,303C,72
100821,D,300,3
100821,D,300G,23
100821,G,303,2
100821,G,303A,3
100821,G,303B,16
100821,G,303C,16
100822,G,300G,54
100822,D,303B,44
100822,D,303C,71
100831,D,300,52
100831,D,300G,72
100831,G,303,51
100831,G,303A,52
100831,G,303C,65
100831,G,401,23
100831,G,401T,28
100831,G,448,31
100831,G,76BT,29
100831,G,76TM,45
100831,G,HT48,34
100841,G,144B,17
100841,G,144H,15
100841,G,418,36
100841,G,HT18,37
100861,G,448,6
100862,D,448,47
100871,G,448,9
100871,G,HT48,13
100872,D,448,44
100872,D,HT48,43
100881,G,448,11
100881,G,HT48,15
100882,D,448,42
100882,D,HT48,41
100891,G,448,15
100891,G,HT48,19
100892,D,448,38
100892,D,HT48,37
100901,G,448,24
100902,D,448,29
100911,G,448,4
100921,D,143,39
100921,G,76V,51
100921,G,79Y,44
100921,G,89BS,3
100921,G,98S,14
100921,G,BN1,16
100921,D,BN3,37
100921,G,BN3,13
100921,D,H-3,25
100921,G,H-3,4
100921,D,MK16,11
100921,G,MK16,33
100921,G,MR42,53
100922,G,143,19
100922,D,76V,21
100922,D,79Y,22
100922,D,89BS,11
100922,D,98S,26
100922,D,BN1,44
100922,G,MR42,3
100931,G,36CY,48
100931,G,92,17
100931,G,98D,17
100931,G,98Y,32
100941,G,141A,25
100941,G,89,27
100941,G,89T,27
100941,G,98T,27
100942,D,141A,18
100942,D,89,44
100942,D,89T,52
100942,D,98T,28
100942,D,MR41,13
100951,G,448,23
100952,D,448,30
100961,G,HT48,8
100962,D,HT48,48
100971,G,HT48,9
100972,D,HT48,47
100981,G,HT48,10
100982,D,HT48,46
100991,G,HT48,11
100992,D,HT48,45
101001,G,448,27
101002,D,448,26
101011,G,448,29
101012,D,448,24
101031,D,76T,21
101031,G,76T,7
101041,G,145M,15
101042,D,145M,32
101051,G,145M,16
101052,D,145M,31
101061,G,402,5
101062,D,402,31
101071,G,402,7
101072,D,402,29
101121,D,402,15
101121,G,402,24
101152,D,404,26
101152,G,404,22
101171,G,144B,13
101172,D,144B,33
101181,G,76BT,4
101181,G,76TM,4
101182,D,76BT,29
101182,D,76TM,63
101191,G,76BT,5
101191,G,76TM,5
101192,D,76BT,28
101192,D,76TM,62
101201,G,76BT,6
101201,G,76TM,6
101202,D,76BT,27
101202,D,76TM,61
101211,G,76BT,10
101211,G,76TM,10
101212,D,76BT,23
101212,D,76TM,57
101221,G,76BT,11
101221,G,76TM,11
101222,D,76BT,22
101222,D,76TM,56
101231,G,401T,6
101231,G,76TM,20
101232,D,401T,43
101232,D,76TM,47
101241,G,401T,7
101241,G,76TM,21
101242,D,401T,42
101242,D,76TM,46
101251,G,401T,9
101251,G,76TM,23
101252,D,401T,40
101252,D,76TM,44
101253,G,MK22,23
101261,G,401T,11
101261,G,76TM,25
101262,D,401T,38
101262,D,76TM,42
101271,G,401T,13
101271,G,76TM,27
101272,D,401T,36
101272,D,76TM,40
101281,G,401T,14
101281,G,76TM,28
101282,D,401T,35
101282,D,76TM,39
101291,G,401T,16
101291,G,76TM,30
101292,D,401T,33
101292,D,76TM,37
101301,D,401T,31
101301,D,76TM,35
101302,G,401T,18
101302,G,76TM,32
101311,G,33B,35
101311,G,D3,21
101321,G,141K,17
101321,G,141M,14
101321,D,36AS,13
101321,G,76O,36
101321,G,79G,42
101321,G,79Ş,27
101321,D,89,36
101321,D,89A,37
101321,G,89F,19
101321,D,89K,41
101321,G,89YB,24
101321,D,98,28
101321,D,98AB,32
101321,D,98KM,13
101321,G,BN1,3
101321,D,BN3,44
101321,G,BN3,1
101321,G,H-3,11
101321,G,HT1,14
101321,G,HT2,17
101321,D,HT20,19
101321,G,İST-17,2
101321,D,KÇ2,23
101321,D,MR41,9
101342,D,89K,30
101342,D,98AB,21
101342,D,KÇ2,12
101351,D,142B,75
101351,G,142E,29
101351,G,142T,26
101351,G,144M,29
101351,G,146A,31
101351,D,146BA,29
101351,D,146F,34
101351,G,146T,40
101351,G,36AY,34
101351,G,76A,23
101351,G,76V,34
101351,D,78G,26
101351,D,78Ş,13
101351,G,79G,26
101351,G,79Ş,13
101351,G,79Y,28
101351,G,HS2,29
101351,G,HT20,13
101351,G,MK13,13
101351,G,MK14,35
101351,G,MK15,40
101351,G,MK16,13
101351,D,MR50,19
101351,G,MR51,52
101362,G,300,18
101362,G,300G,18
101362,D,303,46
101362,D,303A,35
101362,D,303C,35
101381,G,142B,45
101381,D,142T,17
101381,G,429,9
101381,G,429A,9
101381,G,ES1,10
101381,D,ES4,1
101381,G,ES4,8
101381,G,HT29,17
101381,G,MB1,5
101382,G,142A,27
101382,G,142ES,37
101382,D,429,39
101382,D,429A,40
101382,D,ES2,28
101382,G,ES2,11
101382,D,ES3,29
101382,G,ES3,1
101382,D,HT29,21
101391,G,142,47
101391,G,142A,49
101391,G,142ES,57
101391,G,142F,36
101391,G,144A,45
101391,G,146BA,74
101391,G,76D,32
101391,D,HS2,48
101392,D,142,3
101392,D,142A,3
101392,D,142ES,3
101392,D,142F,3
101392,D,144A,2
101392,D,146BA,3
101392,D,76D,42
101392,G,HS2,3
101402,G,142B,63
101412,D,145T,32
101412,D,76,50
101431,G,142K,18
101432,D,142K,5
101441,D,142K,4
101442,G,142K,19
101452,D,76D,40
101452,G,76M,25
101461,G,146,45
101461,G,303,76
101461,G,76,28
101461,G,76B,12
101461,G,76C,38
101461,G,76D,33
101461,G,76K,18
101461,D,76M,1
101461,G,76O,12
101461,G,76Y,37
101461,D,İST-15,5
101462,D,146,30
101462,D,303,12
101462,D,303A,1
101462,D,303C,1
101462,D,76,30
101462,D,76B,30
101462,D,76C,30
101462,D,76K,35
101462,D,76Y,28
101471,D,142B,67
101471,G,146A,23
101471,D,146F,26
101471,G,146T,32
101471,D,147,58
101471,G,76A,15
101471,G,76E,37
101471,G,76T,11
101471,G,76V,27
101471,G,E-57,28
101471,G,E-58,28
101471,G,MK14,27
101471,G,MK15,32
101471,G,MR51,44
101472,G,142B,13
101472,D,142E,22
101472,D,146A,29
101472,G,146BA,52
101472,G,146F,51
101472,D,146T,34
101472,G,147,16
101472,D,76A,34
101472,D,76E,19
101472,D,76T,18
101472,D,76V,43
101472,D,E-57,17
101472,D,E-58,7
101472,D,HS2,26
101472,D,MK14,21
101472,D,MK15,21
101472,D,MR51,20
101472,G,VİP,9
101481,D,36AS,1
101481,G,36AS,78
101481,G,76O,24
101481,D,76V,13
101481,D,79Y,7
101481,D,89BS,1
101481,G,89BS,13
101481,G,89F,7
101481,D,89K,25
101481,D,89S,15
101481,D,98,16
101481,D,98AB,16
101481,D,98KM,1
101481,G,98KM,57
101481,D,98S,16
101481,D,HT20,7
101481,D,KÇ2,7
101481,G,MR42,26
101491,G,141A,6
101491,G,141K,7
101491,G,89,8
101491,G,89T,8
101491,G,98AB,6
101491,G,98T,8
101491,G,HT2,7
101491,G,MR40,8
101492,D,141A,37
101492,D,141K,28
101492,D,89,63
101492,D,89T,71
101492,D,98AB,42
101492,D,98T,47
101492,D,HT2,26
101492,D,MR40,24
101502,D,31,36
101502,D,31E,36
101502,G,36AY,48
101502,G,78B,33
101502,G,79F,52
101502,G,79G,52
101502,G,79K,32
101502,G,79Ş,37
101502,D,82S,30
101502,G,89YB,43
101502,D,98B,24
101502,G,98H,40
101502,G,98T,43
101502,G,E-57,35
101511,D,303,82
101511,G,303,1
101511,D,303A,71
101511,G,303A,1
101521,D,300,5
101521,D,300G,25
101521,G,303,4
101521,G,303A,5
101521,G,303B,18
101521,G,303C,18
101522,G,300,52
101522,G,300G,52
101522,D,303,80
101522,D,303A,69
101522,D,303B,42
101522,D,303C,69
101532,G,300,51
101532,G,300G,51
101532,D,303,79
101532,D,303A,68
101532,D,303B,41
101532,D,303C,68
101541,D,300,2
101541,G,303A,2
101551,G,401T,8
101551,G,76TM,22
101552,D,401T,41
101552,D,76TM,45
101561,G,401T,12
101561,G,76TM,26
101562,D,401T,37
101562,D,76TM,41
101571,G,401T,15
101571,G,76TM,29
101572,D,401T,34
101572,D,76TM,38
101581,D,401T,32
101581,D,76TM,36
101582,G,401T,17
101582,G,76TM,31
101591,G,401T,20
101591,G,76TM,34
101592,D,401T,29
101592,D,76TM,33
101601,G,142F,4
101602,D,142F,34
101611,G,142F,5
101612,D,142F,33
101621,G,429,6
101621,G,429A,6
101621,G,HT29,6
101622,D,429,42
101622,D,429A,43
101622,D,HT29,32
101631,G,429,7
101631,G,429A,7
101631,G,MB1,3
101632,D,429,41
101632,D,429A,42
101641,G,429,8
101641,G,429A,8
101641,D,ES2,29
101641,G,ES2,10
101641,G,MB1,4
101642,D,429,40
101642,D,429A,41
101651,G,145,11
101651,G,458,41
101651,G,76Y,11
101651,G,BM4,18
101652,D,145,26
101652,D,458,23
101652,D,76Y,53
101652,D,BM4,35
101661,G,145,12
101661,G,458,42
101661,G,76Y,12
101661,G,BM4,19
101662,D,145,25
101662,D,458,22
101662,D,76Y,52
101662,D,BM4,34
101671,D,142T,12
101671,D,144M,19
101671,G,76E,39
101671,G,76T,13
101671,G,VİP,11
101681,G,141M,3
101681,G,36AS,58
101681,G,89A,3
101681,G,89K,3
101681,G,98S,3
101681,G,HT1,3
101681,G,KÇ2,3
101681,G,MK31,3
101682,D,141M,45
101682,D,36AS,24
101682,D,89A,48
101682,D,89K,52
101682,D,98S,37
101682,D,HT1,45
101692,D,141A,3
101692,D,141M,9
101692,D,146A,3
101692,D,146B,16
101692,D,146K,4
101692,G,146M,9
101692,D,146T,14
101692,D,303B,6
101692,D,31Y,14
101692,D,33E,12
101692,D,33Y,18
101692,G,36CY,27
101692,D,36Y,16
101692,D,76A,14
101692,D,76O,6
101692,D,78,16
101692,D,78FB,4
101692,D,78M,9
101692,D,89C,25
101692,D,89T,23
101692,D,91E,10
101692,D,91M,8
101692,D,92A,16
101692,D,92K,12
101692,D,92M,9
101692,D,92Ş,9
101692,D,97BM,9
101692,D,97G,10
101692,D,97GE,16
101692,D,97M,9
101692,D,MK4,4
101701,D,76O,38
101701,G,76V,60
101701,G,79Y,57
101701,G,89,44
101701,G,89B,10
101701,D,89F,31
101701,G,89K,30
101701,G,89S,10
101701,G,98,52
101701,G,98AB,32
101701,G,98S,24
101701,G,98TB,16
101701,G,HT20,38
101701,G,KÇ2,33
101711,D,143,45
101711,G,89A,27
101711,G,MK16,39
101712,G,143,14
101712,D,89A,25
101712,D,MK16,8
101722,D,92T,37
101732,D,89M,26
101732,D,98MB,27
101762,D,33B,32
101762,D,55Y,18
101762,D,85T,32
101762,D,92B,22
101762,D,92C,32
101762,G,92M,13
101762,D,98C,18
101762,D,D3,37
101762,G,MK52,7
101771,G,33B,11
101772,D,33B,48
101781,G,142F,10
101782,D,142F,28
101791,G,142F,13
101792,D,142F,25
101801,G,142F,22
101801,G,142K,8
101802,D,142F,16
101802,D,142K,14
101811,G,142F,24
101811,G,142K,10
101812,D,142F,14
101812,D,142K,12
101822,D,92C,39
101822,G,98C,10
101822,G,98G,37
101822,D,D3,44
101832,D,92C,40
101832,G,98C,11
101832,G,98G,38
101832,D,D3,45
101842,D,89S,23
101852,D,89S,22
101861,G,141M,4
101861,G,36AS,59
101861,G,89A,4
101861,G,89K,4
101861,G,98S,4
101861,G,HT1,4
101862,D,141M,44
101862,D,36AS,23
101862,D,89A,47
101862,D,89K,51
101862,D,98S,36
101862,D,HT1,44
101871,G,141M,5
101871,G,36AS,60
101871,G,76V,40
101871,G,89A,5
101871,G,89K,5
101871,G,98S,5
101871,G,HT1,5
101871,G,MR51,58
101872,D,141M,43
101872,D,36AS,22
101872,D,89A,46
101872,D,89K,50
101872,D,98S,35
101872,D,HT1,43
101882,D,33B,33
101882,D,55Y,19
101882,D,85T,33
101882,D,92B,23
101882,D,92C,33
101882,G,92M,14
101882,D,98C,19
101882,D,D3,38
101882,G,MK52,8
101891,G,404,10
101901,D,404,39
101902,G,404,8
101911,G,401,1
101921,G,147,3
101921,D,78Ş,3
101921,G,79Ş,3
101921,G,HT20,3
101921,G,MK13,3
101922,D,147,71
101922,G,78Ş,48
101922,D,79Ş,46
101922,D,HT20,46
101922,D,MK13,23
101931,G,147,2
101931,D,78Ş,2
101931,G,79Ş,2
101931,G,HT20,2
101931,G,MK13,2
101932,D,147,72
101932,G,78Ş,49
101932,D,79Ş,47
101932,D,HT20,47
101932,D,MK13,24
101941,D,147,2
101941,G,76B,2
101941,G,76O,2
101951,G,146,6
101952,D,146,71
101961,G,403,15
101961,G,404,31
101971,D,142,50
101971,G,142,1
101971,D,142A,50
101971,G,142A,1
101971,D,146,76
101971,G,146,1
101971,D,146T,65
101971,G,146T,1
101971,D,76E,53
101971,G,76E,1
101971,D,MK15,52
101971,G,MK15,1
101981,D,144B,9
101981,G,145M,3
101981,G,400A,8
101981,G,76GM,24
101982,G,144B,40
101982,D,145M,42
101982,D,400A,27
101982,D,76GM,8
101991,G,76TM,35
101992,D,76TM,32
102001,D,76TM,31
102002,G,76TM,36
102011,G,76TM,37
102012,D,76TM,30
102021,G,76TM,38
102022,D,76TM,29
102031,G,BM4,34
102032,D,BM4,19
102041,G,146B,21
102041,G,78,22
102041,G,78BE,22
102041,D,78C,18
102041,G,78FB,32
102041,G,78G,21
102041,G,78H,27
102041,G,78M,32
102041,G,78Ş,21
102041,G,79B,41
102041,G,79E,38
102041,G,79T,38
102041,D,82S,11
102041,G,98H,22
102041,G,98KM,20
102042,D,143,11
102042,D,146B,30
102042,G,78C,32
102042,D,78G,42
102042,D,78Ş,33
102042,D,79B,18
102042,D,79E,20
102042,D,79T,25
102042,G,82S,22
102042,D,98KM,41
102051,D,143,10
102051,D,146B,29
102051,G,78C,31
102051,G,78FB,33
102051,D,78G,41
102051,G,78G,22
102051,D,78Ş,32
102051,G,78Ş,22
102051,D,79B,17
102051,G,79B,42
102051,D,79E,19
102051,G,79E,39
102051,D,79T,24
102051,G,79T,39
102051,G,82S,21
102051,D,98KM,40
102052,G,146B,22
102052,G,78,23
102052,G,78BE,23
102052,D,78C,19
102052,G,78H,28
102052,G,78M,33
102052,D,82S,12
102052,G,98H,23
102052,G,98KM,21
102061,G,36AS,43
102061,D,78E,5
102061,D,78G,3
102061,G,79B,3
102061,G,79C,3
102061,G,79E,5
102061,G,79F,3
102061,G,79G,3
102061,G,79K,3
102061,G,79KM,3
102061,G,79KT,5
102061,G,79M,3
102061,G,79T,5
102061,G,79Y,5
102061,G,MK12,28
102062,D,36AS,40
102062,G,78E,60
102062,G,78G,59
102062,D,79B,54
102062,D,79C,58
102062,D,79E,53
102062,D,79F,51
102062,D,79G,58
102062,D,79K,33
102062,D,79KM,47
102062,D,79KT,44
102062,D,79M,47
102062,D,79T,56
102062,D,79Y,61
102062,G,MK11,19
102071,G,36AS,44
102071,D,78E,6
102071,D,78G,4
102071,G,79B,4
102071,G,79C,4
102071,G,79E,6
102071,G,79F,4
102071,G,79G,4
102071,G,79K,4
102071,G,79KM,4
102071,G,79KT,6
102071,G,79M,4
102071,G,79T,6
102071,G,79Y,6
102071,G,MK12,29
102072,D,36AS,39
102072,G,78E,59
102072,G,78G,58
102072,D,79B,53
102072,D,79C,57
102072,D,79E,52
102072,D,79F,50
102072,D,79G,57
102072,D,79K,32
102072,D,79KM,46
102072,D,79KT,43
102072,D,79M,46
102072,D,79T,55
102072,D,79Y,60
102072,G,MK11,18
102081,G,36AS,45
102081,D,78E,7
102081,D,78G,5
102081,G,79B,5
102081,G,79C,5
102081,G,79E,7
102081,G,79F,5
102081,G,79G,5
102081,G,79K,5
102081,G,79KM,5
102081,G,79KT,7
102081,G,79M,5
102081,G,79T,7
102081,G,79Y,7
102081,G,MK12,30
102082,D,36AS,38
102082,G,78E,58
102082,G,78G,57
102082,D,79B,52
102082,D,79C,56
102082,D,79E,51
102082,D,79F,49
102082,D,79G,56
102082,D,79K,31
102082,D,79KM,45
102082,D,79KT,42
102082,D,79M,45
102082,D,79T,54
102082,D,79Y,59
102082,G,MK11,17
102091,G,36AS,46
102091,D,78E,8
102091,D,78G,6
102091,G,79B,6
102091,G,79C,6
102091,G,79E,8
102091,G,79F,6
102091,G,79G,6
102091,G,79K,6
102091,G,79KM,6
102091,G,79KT,8
102091,G,79M,6
102091,G,79T,8
102091,G,79Y,8
102091,G,MK12,31
102092,D,36AS,37
102092,G,78E,57
102092,G,78G,56
102092,D,79B,51
102092,D,79C,55
102092,D,79E,50
102092,D,79F,48
102092,D,79G,55
102092,D,79K,30
102092,D,79KM,44
102092,D,79KT,41
102092,D,79M,44
102092,D,79T,53
102092,D,79Y,58
102092,G,MK11,16
102101,G,36AS,47
102101,D,78E,9
102101,D,78G,7
102101,G,79B,7
102101,G,79C,7
102101,G,79E,9
102101,G,79F,7
102101,G,79G,7
102101,G,79K,7
102101,G,79KM,7
102101,G,79KT,9
102101,G,79M,7
102101,G,79T,9
102101,G,79Y,9
102101,G,İST-14,1
102101,G,MK12,32
102102,D,36AS,36
102102,G,78E,56
102102,G,78G,55
102102,D,79B,50
102102,D,79C,54
102102,D,79E,49
102102,D,79F,47
102102,D,79G,54
102102,D,79K,29
102102,D,79KM,43
102102,D,79KT,40
102102,D,79M,43
102102,D,79T,52
102102,D,79Y,57
102102,D,İST-14,3
102102,G,MK11,15
102111,G,36AS,48
102111,D,78E,10
102111,D,78G,8
102111,G,79B,8
102111,G,79C,8
102111,G,79E,10
102111,G,79F,8
102111,G,79G,8
102111,G,79K,8
102111,G,79KM,8
102111,G,79KT,10
102111,G,79M,8
102111,G,79T,10
102111,G,79Y,10
102111,G,MK12,33
102112,D,36AS,35
102112,G,78E,55
102112,G,78G,54
102112,D,79B,49
102112,D,79C,53
102112,D,79E,48
102112,D,79F,46
102112,D,79G,53
102112,D,79K,28
102112,D,79KM,42
102112,D,79KT,39
102112,D,79M,42
102112,D,79T,51
102112,D,79Y,56
102112,G,MK11,14
102121,G,146BA,27
102121,G,146F,26
102121,D,78E,11
102121,G,78E,50
102121,D,78G,9
102121,D,79B,44
102121,G,79B,9
102121,G,79C,9
102121,D,79E,43
102121,G,79E,11
102121,D,79F,41
102121,G,79F,9
102121,G,79G,9
102121,D,79GE,38
102121,D,79K,24
102121,G,79K,9
102121,D,79KM,37
102121,G,79KM,9
102121,D,79KT,34
102121,G,79KT,11
102121,D,79M,37
102121,G,79M,9
102121,D,79T,47
102121,G,79T,11
102121,G,79Y,11
102121,G,MK11,9
102121,G,MK12,34
102122,D,146BA,47
102122,D,146F,52
102122,D,78E,15
102122,G,78E,54
102122,G,78G,53
102122,D,79B,48
102122,G,79B,13
102122,D,79C,52
102122,D,79E,47
102122,G,79E,15
102122,D,79F,45
102122,G,79F,13
102122,D,79G,52
102122,G,79GE,17
102122,D,79K,27
102122,G,79K,13
102122,D,79KM,41
102122,G,79KM,13
102122,D,79KT,38
102122,G,79KT,15
102122,D,79M,41
102122,G,79M,13
102122,D,79T,50
102122,G,79T,15
102122,D,79Y,55
102122,G,MK11,13
102122,G,MK12,38
102131,G,146BA,28
102131,G,146F,27
102131,D,78E,12
102131,G,78E,51
102131,D,78G,10
102131,D,79B,45
102131,G,79B,10
102131,G,79C,10
102131,D,79E,44
102131,G,79E,12
102131,D,79F,42
102131,G,79F,10
102131,G,79G,10
102131,D,79GE,39
102131,G,79K,10
102131,D,79KM,38
102131,G,79KM,10
102131,D,79KT,35
102131,G,79KT,12
102131,D,79M,38
102131,G,79M,10
102131,G,79T,12
102131,G,79Y,12
102131,G,MK11,10
102131,G,MK12,35
